,0
0,False
1,False
2,False
3,True
4,True
5,False
6,False
7,True
8,False
9,False
10,False
11,False
12,False
13,True
14,True
15,True
16,False
17,False
18,False
19,True
20,False
21,False
22,False
23,False
24,True
25,True
26,True
27,False
28,False
29,False
30,True
31,True
32,True
33,False
34,False
35,True
36,False
37,False
38,True
39,True
40,False
41,False
42,False
43,False
44,False
45,False
46,True
47,True
48,False
49,False
50,False
51,False
52,True
53,False
54,False
55,False
56,False
57,True
58,True
59,True
60,False
61,False
62,True
63,True
64,True
65,False
66,False
67,False
68,True
69,True
70,False
71,True
72,False
73,False
74,True
75,False
76,True
77,False
78,False
79,False
80,False
81,False
82,True
83,True
84,True
85,False
86,True
87,False
88,False
89,False
90,True
91,True
92,False
93,False
94,True
95,False
96,True
97,True
98,False
99,True
100,False
101,False
102,False
103,False
104,True
105,True
106,True
107,False
108,False
109,False
110,False
111,False
112,True
113,False
114,False
115,False
116,False
117,True
118,False
119,True
120,False
121,True
122,True
123,True
124,True
125,True
126,True
127,True
128,True
129,True
130,True
131,True
132,False
133,False
134,False
135,True
136,True
137,True
138,False
139,True
140,True
141,False
142,True
143,False
144,False
145,False
146,False
147,True
148,False
149,True
150,False
151,False
152,False
153,True
154,True
155,True
156,False
157,False
158,True
159,False
160,True
161,False
162,False
163,False
164,False
165,False
166,True
167,True
168,False
169,True
170,False
171,False
172,False
173,True
174,False
175,False
176,False
177,True
178,False
179,False
180,True
181,True
182,False
183,False
184,True
185,False
186,True
187,False
188,True
189,True
190,False
191,True
192,False
193,True
194,False
195,False
196,False
197,True
198,False
199,True
200,True
201,True
202,False
203,True
204,True
205,False
206,False
207,False
208,False
209,False
210,False
211,False
212,False
213,False
214,False
215,True
216,True
217,False
218,True
219,False
220,False
221,True
222,False
223,False
224,False
225,False
226,False
227,True
228,False
229,True
230,False
231,True
232,True
233,False
234,True
235,True
236,False
237,False
238,False
239,False
240,False
241,True
242,True
243,False
244,False
245,True
246,False
247,True
248,True
249,True
250,False
251,False
252,True
253,True
254,False
255,False
256,False
257,False
258,False
